loss,learning_rate,n_estimators,time,accuracy,precision,recall
deviance,1.0,300,0.8736073970794678,0.7312883435582822,0.73,0.7245657568238213
deviance,1.0,350,1.0330100059509277,0.7300613496932515,0.7304785894206549,0.7196029776674938
deviance,1.0,400,1.1135342121124268,0.7325153374233129,0.7353689567430025,0.71712158808933
deviance,1.0,500,1.394061803817749,0.7349693251533742,0.7379134860050891,0.7196029776674938
deviance,3.0,10,0.029998779296875,0.4699386503067485,0.4694736842105263,0.5533498759305211
deviance,3.0,20,0.058000802993774414,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,30,0.08499884605407715,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,40,0.1222231388092041,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,50,0.1488187313079834,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,75,0.2259993553161621,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,100,0.29708051681518555,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,125,0.3929140567779541,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,150,0.4419999122619629,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,200,0.6018741130828857,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,250,0.7533342838287354,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,300,0.8885917663574219,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,350,1.028064250946045,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,400,1.1780846118927002,0.5521472392638037,0.6301369863013698,0.228287841191067
deviance,3.0,500,1.4855060577392578,0.5521472392638037,0.6301369863013698,0.228287841191067
exponential,0.1,10,0.02763056755065918,0.7619631901840491,0.7863013698630137,0.7121588089330024
exponential,0.1,20,0.055998802185058594,0.7742331288343558,0.7844155844155845,0.749379652605459
exponential,0.1,30,0.08199906349182129,0.7815950920245399,0.7805486284289277,0.7766749379652605
exponential,0.1,40,0.11897039413452148,0.7828220858895706,0.7810945273631841,0.7791563275434243
exponential,0.1,50,0.13916325569152832,0.7779141104294478,0.7747524752475248,0.7766749379652605
exponential,0.1,75,0.22117137908935547,0.7840490797546013,0.7802469135802469,0.7841191066997518
exponential,0.1,100,0.2835562229156494,0.7877300613496933,0.7846534653465347,0.7866004962779156
exponential,0.1,125,0.35100293159484863,0.7828220858895706,0.7810945273631841,0.7791563275434243
exponential,0.1,150,0.4361610412597656,0.7779141104294478,0.7775,0.771712158808933
exponential,0.1,200,0.568000078201294,0.7877300613496933,0.7904040404040404,0.7766749379652605
exponential,0.1,250,0.689420223236084,0.7926380368098159,0.7939698492462312,0.7841191066997518
exponential,0.1,300,0.8332493305206299,0.7828220858895706,0.7839195979899497,0.7741935483870968
exponential,0.1,350,0.974128007888794,0.7828220858895706,0.7839195979899497,0.7741935483870968
exponential,0.1,400,1.1197295188903809,0.7754601226993865,0.775,0.7692307692307693
exponential,0.1,500,1.3983397483825684,0.7705521472392638,0.7686567164179104,0.7667493796526055
exponential,0.5,10,0.027642250061035156,0.7766871165644171,0.7811704834605598,0.7617866004962779
exponential,0.5,20,0.05592012405395508,0.7791411042944786,0.7794486215538847,0.771712158808933
exponential,0.5,30,0.08299946784973145,0.7852760736196319,0.7923076923076923,0.7667493796526055
exponential,0.5,40,0.11500835418701172,0.7779141104294478,0.7831632653061225,0.7617866004962779
exponential,0.5,50,0.1389932632446289,0.7705521472392638,0.7727272727272727,0.7593052109181141
exponential,0.5,75,0.2140817642211914,0.7668711656441718,0.7669172932330827,0.7593052109181141
exponential,0.5,100,0.28220152854919434,0.7754601226993865,0.7644230769230769,0.7890818858560794
exponential,0.5,125,0.35401201248168945,0.7595092024539877,0.7530562347188264,0.7642679900744417
exponential,0.5,150,0.42156553268432617,0.7693251533742331,0.7565632458233891,0.7866004962779156
exponential,0.5,200,0.5753817558288574,0.7705521472392638,0.7647058823529411,0.7741935483870968
exponential,0.5,250,0.957805871963501,0.7668711656441718,0.7591240875912408,0.7741935483870968
exponential,0.5,300,1.147517442703247,0.7631901840490798,0.7536231884057971,0.7741935483870968
exponential,0.5,350,1.1814687252044678,0.7558282208588957,0.75,0.7593052109181141
exponential,0.5,400,1.3250555992126465,0.7631901840490798,0.7560975609756098,0.7692307692307693
exponential,0.5,500,1.6990182399749756,0.7644171779141105,0.7604938271604939,0.7642679900744417
exponential,1.0,10,0.03600168228149414,0.7815950920245399,0.783375314861461,0.771712158808933
exponential,1.0,20,0.06800103187561035,0.7607361963190185,0.76,0.7543424317617866
exponential,1.0,30,0.10199999809265137,0.7693251533742331,0.7721518987341772,0.7568238213399504
exponential,1.0,40,0.14200043678283691,0.7656441717791411,0.7676767676767676,0.7543424317617866
exponential,1.0,50,0.17925572395324707,0.7619631901840491,0.7659033078880407,0.7468982630272953
exponential,1.0,75,0.25492143630981445,0.7595092024539877,0.7647058823529411,0.7419354838709677
exponential,1.0,100,0.3489995002746582,0.7644171779141105,0.7604938271604939,0.7642679900744417
exponential,1.0,125,0.4290001392364502,0.7521472392638037,0.7445255474452555,0.7593052109181141
exponential,1.0,150,0.5109999179840088,0.7644171779141105,0.7630922693266833,0.7593052109181141
exponential,1.0,200,0.7019989490509033,0.7570552147239263,0.7608142493638677,0.7419354838709677
exponential,1.0,250,0.8710005283355713,0.747239263803681,0.742014742014742,0.749379652605459
exponential,1.0,300,1.0421161651611328,0.7595092024539877,0.7530562347188264,0.7642679900744417
exponential,1.0,350,1.0467429161071777,0.7484662576687117,0.7475,0.7419354838709677
exponential,1.0,400,1.2500998973846436,0.7595092024539877,0.7593984962406015,0.7518610421836228
exponential,1.0,500,1.3919241428375244,0.7595092024539877,0.7555555555555555,0.7593052109181141
exponential,3.0,10,0.028998374938964844,0.43558282208588955,0.44571428571428573,0.5806451612903226
exponential,3.0,20,0.05699753761291504,0.43558282208588955,0.44571428571428573,0.5806451612903226
exponential,3.0,30,0.08826470375061035,0.43558282208588955,0.44571428571428573,0.5806451612903226
exponential,3.0,40,0.11864829063415527,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,50,0.14316248893737793,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,75,0.21599721908569336,0.7374233128834355,0.7907692307692308,0.6377171215880894
exponential,3.0,100,0.28735804557800293,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,125,0.35291242599487305,0.7374233128834355,0.7907692307692308,0.6377171215880894
exponential,3.0,150,0.4159977436065674,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,200,0.5529975891113281,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,250,0.6987466812133789,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,300,0.8538403511047363,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,350,0.9752116203308105,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,400,1.1752033233642578,0.4343558282208589,0.4446564885496183,0.5781637717121588
exponential,3.0,500,1.390388011932373,0.4343558282208589,0.4446564885496183,0.5781637717121588
