activation,solver,layers,iterations,time,accuracy,precision,recall
relu,sgd,8,450,0.8879740238189697,0.8424153166421208,0.8460431654676259,0.8460431654676259
relu,sgd,8,500,0.9500114917755127,0.8424153166421208,0.8430813124108416,0.8503597122302158
relu,sgd,8,550,0.7239992618560791,0.8483063328424153,0.8517985611510791,0.8517985611510791
relu,sgd,8,600,1.8076732158660889,0.8490427098674521,0.8540462427745664,0.8503597122302158
relu,sgd,8,650,1.3161015510559082,0.853460972017673,0.8573487031700289,0.8561151079136691
relu,sgd,8,700,0.7464516162872314,0.8468335787923417,0.8483547925608012,0.8532374100719424
identity,adam,8,200,0.21974945068359375,0.8379970544918999,0.8582202111613876,0.818705035971223
identity,adam,8,250,0.2029571533203125,0.8424153166421208,0.8616541353383459,0.8244604316546763
identity,adam,8,300,0.1949927806854248,0.8431516936671576,0.8597014925373134,0.8287769784172662
identity,adam,8,350,0.1990058422088623,0.8387334315169367,0.8595166163141994,0.818705035971223
identity,adam,8,400,0.18499064445495605,0.8409425625920471,0.8590704647676162,0.8244604316546763
identity,adam,8,450,0.18400287628173828,0.8438880706921944,0.8609865470852018,0.8287769784172662
identity,adam,8,500,0.27500128746032715,0.8409425625920471,0.8601503759398497,0.823021582733813
identity,adam,8,550,0.1810011863708496,0.8409425625920471,0.8579970104633782,0.8258992805755395
identity,adam,8,600,0.18100523948669434,0.8402061855670103,0.8567164179104477,0.8258992805755395
identity,adam,8,650,0.16100001335144043,0.8409425625920471,0.8590704647676162,0.8244604316546763
identity,adam,8,700,0.2039945125579834,0.8424153166421208,0.8605697151424287,0.8258992805755395
logistic,adam,8,200,0.8280012607574463,0.8527245949926362,0.8561151079136691,0.8561151079136691
logistic,adam,8,250,1.0118207931518555,0.8586156111929307,0.860832137733142,0.8633093525179856
logistic,adam,8,300,1.215421438217163,0.8519882179675994,0.8518518518518519,0.860431654676259
logistic,adam,8,350,1.3546342849731445,0.8556701030927835,0.8559201141226819,0.8633093525179856
logistic,adam,8,400,1.45503830909729,0.8571428571428571,0.8593974175035868,0.8618705035971223
logistic,adam,8,450,1.5606846809387207,0.8630338733431517,0.85997171145686,0.874820143884892
logistic,adam,8,500,1.2378578186035156,0.8586156111929307,0.8567375886524823,0.8690647482014389
logistic,adam,8,550,0.9780864715576172,0.8549337260677466,0.8526912181303116,0.8661870503597122
logistic,adam,8,600,1.69749116897583,0.8541973490427098,0.8565279770444764,0.8589928057553957
logistic,adam,8,650,1.761601209640503,0.8527245949926362,0.8530670470756063,0.860431654676259
logistic,adam,8,700,1.743544340133667,0.8571428571428571,0.8573466476462197,0.8647482014388489
relu,adam,8,200,0.7113010883331299,0.8571428571428571,0.8513323983169705,0.8733812949640288
relu,adam,8,250,0.8499796390533447,0.8490427098674521,0.8450704225352113,0.8633093525179856
relu,adam,8,300,0.6182599067687988,0.8490427098674521,0.8450704225352113,0.8633093525179856
relu,adam,8,350,1.090418815612793,0.8549337260677466,0.8536931818181818,0.8647482014388489
relu,adam,8,400,1.3178317546844482,0.853460972017673,0.8473389355742297,0.8705035971223022
relu,adam,8,450,1.445448398590088,0.8527245949926362,0.8540772532188842,0.8589928057553957
relu,adam,8,500,0.7859706878662109,0.8586156111929307,0.8557284299858557,0.8705035971223022
relu,adam,8,550,1.0093750953674316,0.8483063328424153,0.8419580419580419,0.8661870503597122
relu,adam,8,600,1.4274258613586426,0.8372606774668631,0.8569277108433735,0.818705035971223
relu,adam,8,650,1.4142515659332275,0.853460972017673,0.8473389355742297,0.8705035971223022
relu,adam,8,700,1.0075287818908691,0.8497790868924889,0.8472418670438473,0.8618705035971223
identity,sgd,10,200,0.23596405982971191,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,sgd,10,250,0.2389998435974121,0.8431516936671576,0.8607784431137725,0.8273381294964028
identity,sgd,10,300,0.21428704261779785,0.841678939617084,0.8614457831325302,0.823021582733813
identity,sgd,10,350,0.21158647537231445,0.8409425625920471,0.8590704647676162,0.8244604316546763
identity,sgd,10,400,0.2540700435638428,0.841678939617084,0.8582089552238806,0.8273381294964028
identity,sgd,10,450,0.265927791595459,0.8424153166421208,0.8627450980392157,0.823021582733813
identity,sgd,10,500,0.2732808589935303,0.841678939617084,0.8592814371257484,0.8258992805755395
identity,sgd,10,550,0.24718213081359863,0.8394698085419735,0.8597285067873304,0.8201438848920863
identity,sgd,10,600,0.22560930252075195,0.8424153166421208,0.8573551263001485,0.8302158273381295
