,iteration,score,size,algorithm
534,12095.0,13473.406723564796,25,Random Hill Climb
535,12096.0,13473.406723564796,25,Random Hill Climb
536,12097.0,13473.406723564796,25,Random Hill Climb
537,12098.0,13473.406723564796,25,Random Hill Climb
538,12099.0,13473.406723564796,25,Random Hill Climb
539,12101.0,13596.11432191071,25,Random Hill Climb
540,12102.0,13596.11432191071,25,Random Hill Climb
541,12104.0,13886.050093295202,25,Random Hill Climb
542,12105.0,13886.050093295202,25,Random Hill Climb
543,12107.0,14145.654796076753,25,Random Hill Climb
544,12109.0,14251.561419160262,25,Random Hill Climb
545,12111.0,14910.337673000586,25,Random Hill Climb
546,12112.0,14910.337673000586,25,Random Hill Climb
547,12114.0,15294.572100310552,25,Random Hill Climb
548,12115.0,15294.572100310552,25,Random Hill Climb
549,12117.0,15334.252184529167,25,Random Hill Climb
550,12118.0,15334.252184529167,25,Random Hill Climb
551,12120.0,15336.886896920678,25,Random Hill Climb
552,12122.0,15395.442290933972,25,Random Hill Climb
553,12123.0,15395.442290933972,25,Random Hill Climb
554,12124.0,15395.442290933972,25,Random Hill Climb
555,12125.0,15395.442290933972,25,Random Hill Climb
556,12126.0,15395.442290933972,25,Random Hill Climb
557,12127.0,15395.442290933972,25,Random Hill Climb
558,12128.0,15395.442290933972,25,Random Hill Climb
559,12129.0,15395.442290933972,25,Random Hill Climb
560,12130.0,15395.442290933972,25,Random Hill Climb
561,12131.0,15395.442290933972,25,Random Hill Climb
562,12132.0,15395.442290933972,25,Random Hill Climb
563,402.0,14525.272964058238,25,MIMIC
564,604.0,14982.00608604287,25,MIMIC
565,806.0,15051.248384672515,25,MIMIC
566,1007.0,15051.248384672515,25,MIMIC
567,1208.0,15051.248384672515,25,MIMIC
568,1409.0,15051.248384672515,25,MIMIC
569,1610.0,15051.248384672515,25,MIMIC
570,1811.0,15051.248384672515,25,MIMIC
571,2012.0,15051.248384672515,25,MIMIC
572,2213.0,15051.248384672515,25,MIMIC
573,2414.0,15051.248384672515,25,MIMIC
574,2615.0,15051.248384672515,25,MIMIC
575,2816.0,15051.248384672515,25,MIMIC
576,1.0,12160.65994988813,25,Simulated Annealing
577,3.0,12659.019107279615,25,Simulated Annealing
578,5.0,13084.526879839097,25,Simulated Annealing
579,7.0,13327.441083988488,25,Simulated Annealing
